T,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z
113.68,2.31921e-06,3.0002e-06,3.5031e-06,4.15596e-05,2.88497e-05,3.74849e-05
126.82,2.13868e-06,2.8242e-06,3.31728e-06,4.28328e-05,2.94956e-05,3.96592e-05
141.46,1.98071e-06,2.67302e-06,3.15123e-06,4.43256e-05,3.02873e-05,4.21555e-05
157.8,1.8431e-06,2.54457e-06,3.00264e-06,4.60598e-05,3.12359e-05,4.50089e-05
176.02,1.72434e-06,2.43749e-06,2.86989e-06,4.80562e-05,3.23525e-05,4.82525e-05
196.34,1.62297e-06,2.35049e-06,2.75134e-06,5.0341e-05,3.3651e-05,5.19272e-05
219.02,1.53771e-06,2.28252e-06,2.64549e-06,5.2946e-05,3.5149e-05,5.60825e-05
244.3,1.46766e-06,2.23291e-06,2.55123e-06,5.59021e-05,3.68633e-05,6.07653e-05
272.52,1.41186e-06,2.20108e-06,2.46729e-06,5.92532e-05,3.88183e-05,6.60421e-05
303.98,1.36974e-06,2.18676e-06,2.39277e-06,6.304e-05,4.10362e-05,7.19735e-05
339.1,1.34073e-06,2.18991e-06,2.32669e-06,6.73194e-05,4.35486e-05,7.86445e-05
378.26,1.32452e-06,2.21068e-06,2.26836e-06,7.21455e-05,4.63852e-05,8.61342e-05
421.94,1.32091e-06,2.2495e-06,2.21703e-06,7.75873e-05,4.95836e-05,9.4543e-05
470.66,1.32986e-06,2.30705e-06,2.17212e-06,8.37218e-05,5.31857e-05,0.000103982
525.02,1.35147e-06,2.3843e-06,2.13307e-06,9.06397e-05,5.72405e-05,0.000114581
585.64,1.386e-06,2.48247e-06,2.09945e-06,9.84387e-05,6.18e-05,0.000126477
653.28,1.43386e-06,2.6032e-06,2.07085e-06,0.00010724,6.69285e-05,0.00013984
728.72,1.49563e-06,2.74841e-06,2.04695e-06,0.000117175,7.26942e-05,0.000154852
812.88,1.57204e-06,2.9205e-06,2.02747e-06,0.0001284,7.91784e-05,0.000171726
906.76,1.66402e-06,3.12232e-06,2.01221e-06,0.000141095,8.64721e-05,0.000190703
1011.46,1.77263e-06,3.35723e-06,2.001e-06,0.000155464,9.46779e-05,0.000212057
1128.28,1.89922e-06,3.62939e-06,1.99375e-06,0.000171756,0.000103919,0.000236114
1258.58,2.04528e-06,3.9435e-06,1.99041e-06,0.000190248,0.00011433,0.000263232
1403.92,2.21254e-06,4.30523e-06,1.99098e-06,0.000211269,0.000126069,0.000293832
1566.06,2.40303e-06,4.72136e-06,1.99553e-06,0.00023521,0.000139318,0.000328404
1746.92,2.61902e-06,5.19977e-06,2.0042e-06,0.000262521,0.000154287,0.000367507
1948.66,2.86307e-06,5.74988e-06,2.01717e-06,0.000293738,0.000171218,0.000411793
2173.7,3.13811e-06,6.38287e-06,2.03473e-06,0.000329496,0.000190393,0.000462026
2424.74,3.44745e-06,7.11205e-06,2.05722e-06,0.000370546,0.000212142,0.000519094
2704.76,3.79476e-06,7.95319e-06,2.08509e-06,0.00041778,0.000236846,0.000584033
3017.12,4.18421e-06,8.92522e-06,2.1189e-06,0.000472265,0.000264954,0.000658068
3365.56,4.62045e-06,1.00508e-05,2.15934e-06,0.000535276,0.000296994,0.000742637
3754.24,5.10871e-06,1.13571e-05,2.20724e-06,0.000608343,0.000333587,0.000839442
4187.8,5.65479e-06,1.28767e-05,2.26359e-06,0.000693302,0.000375462,0.000950493
4671.42,6.26524e-06,1.4649e-05,2.3296e-06,0.000792369,0.00042349,0.00107818
5210.9,6.94738e-06,1.67216e-05,2.40675e-06,0.000908228,0.000478701,0.00122538
5812.7,7.70936e-06,1.91523e-05,2.49677e-06,0.00104413,0.000542328,0.00139548
6483.98,8.56026e-06,2.20107e-05,2.60179e-06,0.00120399,0.000615833,0.00159258
7232.8,9.5103e-06,2.53821e-05,2.72434e-06,0.00139263,0.000700982,0.0018216
8068.08,1.05708e-05,2.93699e-05,2.86748e-06,0.00161587,0.000799883,0.00208844
8999.84,1.17545e-05,3.41006e-05,3.03493e-06,0.00188084,0.000915086,0.00240027
