iter,chi_squared,lambda
0,1.85836e+06,500000
1,1.80779e+06,230865
2,1.25225e+06,80239
3,884871,67542.5
4,230702,48116.8
5,20653.8,28950.9
6,7358.49,17254.2
7,5725.06,10244.5
8,5443.49,5970.19
9,5311.52,3241.73
10,5179.6,1721.78
11,5069.41,936.532
12,5005.2,522.592
13,4979.48,298.113
14,4972.21,172.985
15,4970.68,101.602
16,4970.42,60.1599
17,4970.38,35.8054
18,4970.38,21.3785
