iter,chi_squared,lambda
0,1.85836e+06,500000
1,1.81594e+06,166667
2,1.51988e+06,55555.6
3,867026,37037
4,33756.8,12345.7
5,5580.7,4115.23
6,5256.76,1371.74
7,5063.97,457.247
8,4979.99,152.416
9,4970.56,50.8053
10,4970.37,16.9351
