iter,chi_squared,lambda
0,101899,500000
1,99243.9,250865
2,94234.7,126283
3,85286.1,63964.1
4,70828.4,32755.7
5,51160.8,17071.5
6,30623.4,9116.47
7,15552.8,5006.03
8,8148.17,2822.11
9,5687.32,1624.73
10,5101.39,949.487
11,4993.21,560.354
12,4976.39,332.54
13,4973.89,196.882
14,4973.28,111.445
15,4972.72,57.9757
16,4972,30.295
17,4971.27,16.2282
18,4970.76,8.93955
19,4970.52,5.05325
20,4970.44,2.9151
21,4970.43,1.70595
22,4970.42,1.00785
23,4970.42,0.599003
24,4970.42,0.35734
